PV,RK950,Plymouth,,,,,,,,,,,,,,,
PV,RXF03,Pontefract,,,,,,,,,,,,,,,
PV,RHU02,Portsmouth-Q-Alex,,,,,,,,,,,,,,,
PV,OBS,Pregnancy,,,,,,,,,,,,,,,
PV,RMF01,Preston,,,,,,,,,,,,,,,
PV,PRESR1,PRESTON_RES_GP1,,,,,,,,,,,,,,,
PV,RHW01,Reading,,,,,,,,,,,,,,,
PV,REDCAPLASIA,RedCAplasia,,,,,,,,,,,,,,,
PV,Renal,Renal,,,,,,,,,,,,,,,
PV,RENALREG,Renal Registry,,,,,,,,,,,,,,,
PV,RFRPA,Rotherham,,,,,,,,,,,,,,,
PV,SALIBD,Salford IBD,,,,,,,,,,,,,,,
PV,RM301,Salford Royal,,,,,,,,,,,,,,,
PV,DSF01,Salford_Diabetes,,,,,,,,,,,,,,,
PV,HYPALK,Salt Wasting,,,,,,,,,,,,,,,
PV,9RQR14,Seacroft,,,,,,,,,,,,,,,
PV,RK7CC,Sheffield,,,,,,,,,,,,,,,
PV,RLZ01,Shrewsbury,,,,,,,,,,,,,,,
PV,RL301,Solihull,,,,,,,,,,,,,,,
PV,99RHM01,Southampton-Paed,,,,,,,,,,,,,,,
PV,RAJ01,Southend,,,,,,,,,,,,,,,
PV,RVY01,Southport,,,,,,,,,,,,,,,
PV,SRNS,SRNS,,,,,,,,,,,,,,,
PV,9RBN01,St Helens_Satellite,,,,,,,,,,,,,,,
PV,STAFF_ENTERED,Staff Entered,,,,,,,,,,,,,,,
PV,STECHUS,STECHUS,,,,,,,,,,,,,,,
PV,RAQ01,Stevenage-Lister,,,,,,,,,,,,,,,
PV,9RWJ,Stockport,,,,,,,,,,,,,,,
PV,RJE01,Stoke,,,,,,,,,,,,,,,
PV,RLNGH,Sunderland,,,,,,,,,,,,,,,
PV,RQHC7,Swansea,,,,,,,,,,,,,,,
PV,RMP01,Tameside,,,,,,,,,,,,,,,
PV,REF12,Truro -Treliske,,,,,,,,,,,,,,,
PV,UNKNOWNTESTGROUP,Unknown,,,,,,,,,,,,,,,
PV,VASRDG,VASRDG,,,,,,,,,,,,,,,
PV,9RBK,Walsall Renal Unit,,,,,,,,,,,,,,,
PV,RKC81,Warrington,,,,,,,,,,,,,,,
PV,9RLNGH,Washington,,,,,,,,,,,,,,,
PV,REM26,Waterloo_Satellite,,,,,,,,,,,,,,,
PV,9RM301,Wigan,,,,,,,,,,,,,,,
PV,RL403,Wolverhampton,,,,,,,,,,,,,,,
PV,RKHA4,Wrexham,,,,,,,,,,,,,,,
PV,RCB55,York,,,,,,,,,,,,,,,
PV,PV,PatientView System
PV,INS_WEB,INS Website
PV,INS_APP,INS App
PV,NHSWLS,NHS Wales
